temps,x_soleil,y_soleil,x_terre,y_terre,derive_E 
0.9568,0,0,0.9612428050187537,-0.30272650840666354,0.0074425662021891615
0.9569,0,0,0.9614308033968455,-0.302129616868615,0.0074433315447604625
0.9570,0,0,0.9616184310183534,-0.30153260856730385,0.00744409688690571
0.9571,0,0,0.9618056878109987,-0.30093548373302764,0.007444862228623646
0.9572,0,0,0.9619925737026457,-0.3003382425961288,0.007445627569915642
0.9573,0,0,0.9621790886213016,-0.2997408853869942,0.007446392910781584
0.9574,0,0,0.962365232495117,-0.29914341233605546,0.007447158251222502
0.9575,0,0,0.962551005252385,-0.2985458236737884,0.007447923591237822
0.9576,0,0,0.9627364068215422,-0.2979481196307134,0.0074486889308284605
0.9577,0,0,0.9629214371311681,-0.2973503004373949,0.007449454269994874
0.9578,0,0,0.9631060961099854,-0.29675236632444174,0.007450219608736948
0.9579,0,0,0.96329038368686,-0.2961543175225067,0.007450984947055712
0.9580,0,0,0.963474299790801,-0.29555615426228665,0.0074517502849508225
0.9581,0,0,0.9636578443509606,-0.2949578767745223,0.007452515622423194
0.9582,0,0,0.9638410172966344,-0.2943594852899981,0.007453280959473171
0.9583,0,0,0.9640238185572612,-0.2937609800395425,0.007454046296100865
0.9584,0,0,0.964206248062423,-0.2931623612540273,0.007454811632307078
0.9585,0,0,0.9643883057418454,-0.292563629164368,0.007455576968091695
0.9586,0,0,0.9645699915253971,-0.2919647840015236,0.007456342303455059
0.9587,0,0,0.9647513053430903,-0.29136582599649635,0.007457107638397743
0.9588,0,0,0.9649322471250805,-0.2907667553803319,0.007457872972920316
0.9589,0,0,0.9651128168016668,-0.2901675723841191,0.007458638307022895
0.9590,0,0,0.9652930143032916,-0.28956827723898987,0.007459403640705936
0.9591,0,0,0.965472839560541,-0.2889688701761191,0.007460168973969667
0.9592,0,0,0.9656522925041443,-0.2883693514267247,0.007460934306814089
0.9593,0,0,0.9658313730649747,-0.28776972122206734,0.007461699639240231
0.9594,0,0,0.9660100811740487,-0.28716997979345055,0.007462464971248434
0.9595,0,0,0.9661884167625266,-0.2865701273722205,0.007463230302838586
0.9596,0,0,0.9663663797617122,-0.2859701641897658,0.007463995634011372
0.9597,0,0,0.9665439701030529,-0.2853700904775177,0.007464760964767364
0.9598,0,0,0.9667211877181399,-0.2847699064669499,0.007465526295106218
0.9599,0,0,0.966898032538708,-0.28416961238957816,0.007466291625029307
0.9600,0,0,0.9670745044966358,-0.28356920847696077,0.007467056954536287
0.9601,0,0,0.9672506035239455,-0.2829686949606979,0.007467822283627044
0.9602,0,0,0.9674263295528035,-0.2823680720724318,0.007468587612303179
0.9603,0,0,0.9676016825155195,-0.28176734004384685,0.00746935294056332
0.9604,0,0,0.9677766623445473,-0.28116649910666913,0.007470118268410096
0.9605,0,0,0.9679512689724845,-0.28056554949266654,0.0074708835958421345
0.9606,0,0,0.9681255023320726,-0.2799644914336487,0.007471648922860009
0.9607,0,0,0.9682993623561971,-0.2793633251614668,0.007472414249464403
0.9608,0,0,0.9684728489778872,-0.2787620509080134,0.007473179575656119
0.9609,0,0,0.9686459621303164,-0.2781606689052228,0.007473944901435155
0.9610,0,0,0.9688187017468018,-0.27755917938507024,0.007474710226801056
0.9611,0,0,0.9689910677608049,-0.27695758257957254,0.007475475551755535
0.9612,0,0,0.9691630601059309,-0.27635587872078743,0.007476240876297906
0.9613,0,0,0.9693346787159292,-0.27575406804081387,0.007477006200428169
0.9614,0,0,0.9695059235246933,-0.2751521507717917,0.007477771524148155
0.9615,0,0,0.969676794466261,-0.2745501271459017,0.007478536847457176
